Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_full_date
inn01805,2,0,0,3,meal plan 1,0,room_type 1,253,online,0,0,0,78.3,2,not_canceled,2018-12-08
inn01806,1,0,0,1,meal plan 1,0,room_type 1,10,online,0,0,0,120.0,0,canceled,2018-11-10
inn01807,2,1,0,3,meal plan 1,0,room_type 1,33,offline,0,0,0,75.6,1,not_canceled,2017-10-07
inn01808,3,0,0,2,meal plan 1,0,room_type 4,24,online,0,0,0,187.0,0,not_canceled,2018-07-26
inn01809,2,0,0,2,meal plan 2,0,room_type 1,346,online,0,0,0,115.0,1,canceled,2018-09-13
inn01810,2,0,1,2,not selected,0,room_type 1,16,online,0,0,0,85.78,2,not_canceled,2018-12-02
inn01811,2,0,0,2,meal plan 2,0,room_type 1,50,online,0,0,0,131.4,0,canceled,2018-11-11
inn01812,2,0,0,2,not selected,0,room_type 4,15,online,0,0,0,115.0,2,not_canceled,2017-09-16
inn01813,2,0,1,3,meal plan 1,0,room_type 1,24,online,0,0,0,119.25,0,not_canceled,2017-09-17
inn01814,1,1,2,5,meal plan 2,0,room_type 1,80,online,0,0,0,88.29,1,not_canceled,2018-12-20
inn01815,2,0,0,2,meal plan 1,0,room_type 1,220,online,0,0,0,96.3,1,canceled,2018-09-02
inn01816,2,0,0,2,meal plan 2,0,room_type 1,256,online,0,0,0,115.0,1,canceled,2018-06-15
inn01817,2,0,2,1,meal plan 2,0,room_type 1,117,online,0,0,0,94.5,0,canceled,2017-08-01
inn01818,1,0,0,1,not selected,0,room_type 1,2,online,0,0,0,127.0,0,not_canceled,2018-06-28
inn01819,2,0,0,2,meal plan 1,0,room_type 1,99,corporate,0,0,0,86.0,0,not_canceled,2018-02-19
inn01820,2,0,2,1,meal plan 1,1,room_type 1,49,online,0,0,0,115.2,2,not_canceled,2017-12-05
inn01821,2,1,0,3,meal plan 1,0,room_type 1,35,online,0,0,0,93.63,1,not_canceled,2018-02-24
inn01822,2,0,1,1,meal plan 1,0,room_type 4,0,online,0,0,0,106.0,0,canceled,2018-02-13
inn01823,2,0,0,1,not selected,0,room_type 1,1,online,0,0,0,119.0,1,not_canceled,2018-04-12
inn01824,2,0,2,4,meal plan 1,0,room_type 4,53,online,0,0,0,121.35,1,not_canceled,2018-09-01
inn01825,2,0,1,4,meal plan 1,0,room_type 1,148,offline,0,0,0,67.0,0,not_canceled,2017-12-30
inn01826,2,0,2,5,not selected,0,room_type 1,11,online,0,0,0,79.0,0,canceled,2018-02-01
inn01827,3,0,0,3,meal plan 1,0,room_type 4,158,online,0,0,0,146.7,2,canceled,2018-07-07
inn01828,2,1,0,1,meal plan 2,0,room_type 1,32,online,0,0,0,165.15,0,not_canceled,2018-04-27
inn01829,2,0,0,2,meal plan 1,0,room_type 1,30,online,0,0,0,135.9,1,canceled,2018-09-15
inn01830,2,0,0,1,meal plan 1,0,room_type 1,1,online,0,0,0,95.0,0,not_canceled,2018-11-26
inn01831,2,0,1,2,meal plan 1,0,room_type 1,19,offline,0,0,0,95.0,1,not_canceled,2018-09-19
inn01832,1,0,2,0,meal plan 1,0,room_type 1,12,online,0,0,0,97.02,1,not_canceled,2018-05-29
inn01833,3,0,0,1,meal plan 1,1,room_type 4,59,online,0,0,0,139.5,1,not_canceled,2018-09-07
inn01834,2,0,1,2,meal plan 1,0,room_type 1,91,online,0,0,0,80.0,0,canceled,2018-04-04
inn01835,2,0,0,2,meal plan 1,0,room_type 1,27,offline,0,0,0,108.0,0,not_canceled,2017-09-30
inn01836,2,0,2,1,meal plan 1,0,room_type 1,180,online,0,0,0,108.9,1,canceled,2018-10-01
inn01837,2,0,0,2,not selected,0,room_type 1,72,online,0,0,0,79.2,1,canceled,2018-11-18
inn01838,2,1,1,0,meal plan 1,0,room_type 1,0,online,0,0,0,90.4,0,not_canceled,2017-11-01
inn01839,2,0,0,2,meal plan 2,0,room_type 1,256,online,0,0,0,115.0,0,canceled,2018-06-15
inn01840,2,0,2,1,meal plan 1,0,room_type 2,54,offline,0,0,0,95.0,1,not_canceled,2018-10-29
inn01841,1,0,0,2,meal plan 1,0,room_type 1,14,offline,0,0,0,100.0,0,not_canceled,2017-10-15
inn01842,2,0,2,3,meal plan 1,0,room_type 1,34,offline,0,0,0,80.75,1,not_canceled,2018-06-19
inn01843,2,0,0,2,meal plan 1,0,room_type 1,86,corporate,0,0,0,100.0,0,not_canceled,2017-09-09
inn01844,1,0,2,2,meal plan 1,0,room_type 1,104,online,0,0,0,76.5,0,canceled,2018-04-15
inn01845,2,0,1,2,meal plan 1,0,room_type 4,128,online,0,0,0,97.42,1,not_canceled,2018-07-11
inn01846,2,0,0,2,not selected,0,room_type 1,150,online,0,0,0,89.4,1,not_canceled,2018-09-09
inn01847,2,0,2,2,meal plan 1,0,room_type 1,29,online,0,0,0,95.04,0,not_canceled,2017-10-17
inn01848,2,0,2,5,meal plan 1,0,room_type 2,127,online,0,0,0,94.7,1,canceled,2018-03-19
inn01849,2,0,0,1,meal plan 1,0,room_type 1,34,online,0,0,0,105.3,1,not_canceled,2018-04-22
inn01850,2,0,0,1,not selected,0,room_type 1,0,online,0,0,0,75.0,0,not_canceled,2017-12-19
inn01851,2,0,2,4,meal plan 1,0,room_type 1,169,offline,0,0,0,72.25,0,not_canceled,2018-07-13
inn01852,3,0,1,4,meal plan 1,0,room_type 4,176,online,0,0,0,130.05,2,canceled,2018-08-01
inn01853,2,0,1,5,meal plan 1,0,room_type 1,9,online,0,0,0,127.67,0,not_canceled,2018-03-28
inn01854,2,0,1,2,meal plan 1,0,room_type 1,168,online,0,0,0,85.0,0,canceled,2018-04-22
inn01855,2,0,1,2,meal plan 1,0,room_type 4,4,online,0,0,0,118.67,1,not_canceled,2018-12-09
inn01856,2,0,2,2,meal plan 1,0,room_type 1,132,online,0,0,0,55.63,0,not_canceled,2017-12-20
inn01857,1,0,2,4,meal plan 1,0,room_type 1,69,online,0,0,0,120.0,0,canceled,2018-06-12
inn01858,2,0,0,2,meal plan 2,0,room_type 1,74,offline,0,0,0,101.5,0,not_canceled,2017-09-18
inn01859,1,0,0,2,meal plan 1,0,room_type 1,192,offline,0,0,0,95.0,0,not_canceled,2018-06-24
inn01860,2,0,1,3,meal plan 1,0,room_type 4,47,online,0,0,0,140.4,0,canceled,2018-06-16
inn01861,3,0,1,1,meal plan 1,0,room_type 4,36,online,0,0,0,159.3,0,canceled,2018-05-14
inn01862,2,0,2,3,not selected,0,room_type 2,34,online,0,0,0,94.3,0,not_canceled,2017-10-15
inn01863,2,0,2,2,meal plan 2,1,room_type 1,14,online,0,0,0,113.0,3,not_canceled,2017-09-04
inn01864,2,0,1,4,meal plan 1,0,room_type 1,183,online,0,0,0,112.0,1,canceled,2018-08-03
inn01865,2,0,2,3,meal plan 1,0,room_type 1,210,online,0,0,0,90.95,1,not_canceled,2018-08-07
inn01866,3,0,1,1,meal plan 1,0,room_type 4,22,online,0,0,0,172.0,0,canceled,2018-04-30
inn01867,2,1,1,1,not selected,0,room_type 1,158,online,0,0,0,79.2,1,canceled,2018-12-24
inn01868,1,0,1,0,not selected,0,room_type 1,4,offline,0,0,0,144.0,0,not_canceled,2018-05-23
inn01869,2,0,0,3,meal plan 1,0,room_type 1,5,offline,0,0,0,70.0,0,not_canceled,2017-11-04
inn01870,2,1,0,1,meal plan 1,0,room_type 1,11,online,0,0,0,150.0,1,canceled,2018-11-05
inn01871,2,1,0,3,meal plan 1,0,room_type 1,34,offline,0,0,0,100.0,0,not_canceled,2018-10-26
inn01872,2,0,1,1,meal plan 1,0,room_type 1,33,corporate,0,0,0,62.0,0,canceled,2018-01-25
inn01873,2,0,0,1,meal plan 1,0,room_type 4,83,online,0,0,0,167.4,1,not_canceled,2018-06-14
inn01874,2,0,1,0,meal plan 1,0,room_type 1,263,offline,0,0,0,67.0,0,not_canceled,2017-09-21
inn01875,1,0,0,2,meal plan 1,0,room_type 1,119,offline,0,0,0,83.0,0,not_canceled,2018-03-29
inn01876,1,0,1,1,meal plan 1,0,room_type 1,89,online,0,0,0,113.4,1,not_canceled,2018-10-03
inn01877,2,0,0,2,meal plan 1,0,room_type 1,217,online,0,0,0,96.3,0,canceled,2018-08-10
inn01878,2,0,1,3,meal plan 1,0,room_type 1,193,online,0,0,0,90.95,1,not_canceled,2018-07-25
inn01879,2,0,2,2,meal plan 1,0,room_type 1,91,online,0,0,0,59.37,0,not_canceled,2018-04-02
inn01881,2,0,2,2,meal plan 1,0,room_type 1,64,online,0,0,0,103.95,1,not_canceled,2018-09-04
inn01882,1,0,0,2,meal plan 2,0,room_type 1,377,offline,0,0,0,90.0,0,not_canceled,2018-10-14
inn01883,2,0,0,1,meal plan 1,0,room_type 1,255,online,0,0,0,80.85,1,canceled,2018-06-03
inn01884,2,0,0,1,meal plan 2,0,room_type 2,110,offline,0,0,0,98.2,1,not_canceled,2017-07-23
inn01885,1,0,0,1,not selected,0,room_type 1,11,online,0,0,0,99.0,0,not_canceled,2018-05-25
inn01887,2,0,0,1,meal plan 1,0,room_type 1,60,online,0,0,0,105.3,0,canceled,2018-07-12
inn01888,3,0,0,2,meal plan 1,0,room_type 4,101,online,0,0,0,142.2,0,canceled,2018-07-22
inn01889,2,0,0,1,meal plan 1,0,room_type 1,11,online,0,0,0,130.0,1,canceled,2018-11-05
inn01890,1,0,0,2,meal plan 1,0,room_type 1,7,offline,0,0,0,65.0,0,not_canceled,2018-03-02
inn01891,2,0,0,4,meal plan 2,0,room_type 1,296,online,0,0,0,117.0,1,canceled,2018-09-21
inn01893,2,0,2,5,not selected,0,room_type 1,213,online,0,0,0,92.29,1,not_canceled,2018-06-30
inn01894,2,0,1,0,not selected,0,room_type 1,39,online,0,0,0,94.5,1,not_canceled,2018-04-24
inn01895,1,0,0,3,meal plan 1,0,room_type 4,11,corporate,0,0,0,90.0,0,not_canceled,2018-06-14
inn01896,2,0,1,2,meal plan 1,0,room_type 1,58,online,0,0,0,79.2,1,not_canceled,2017-11-13
inn01897,2,0,0,4,meal plan 1,0,room_type 1,223,online,0,0,0,90.95,2,canceled,2018-08-30
inn01898,1,0,2,1,meal plan 1,0,room_type 1,93,online,0,0,0,115.0,0,canceled,2018-10-15
inn01899,2,0,0,3,meal plan 1,0,room_type 1,13,online,0,0,0,105.0,1,not_canceled,2018-11-17
inn01900,2,0,2,2,meal plan 1,0,room_type 4,71,online,0,0,0,132.6,0,canceled,2018-05-01
inn01901,2,1,0,2,meal plan 1,0,room_type 4,7,offline,0,0,0,147.3,1,not_canceled,2018-07-12
inn01902,3,0,1,1,meal plan 2,0,room_type 4,63,online,0,0,0,210.6,0,canceled,2018-05-14
inn01903,2,2,0,1,meal plan 1,0,room_type 6,10,online,0,0,0,97.0,1,not_canceled,2017-08-22
inn01904,2,0,0,1,not selected,0,room_type 1,9,online,0,0,0,108.0,1,not_canceled,2018-07-20
inn01905,2,0,0,3,meal plan 1,0,room_type 1,0,online,0,0,0,90.0,2,not_canceled,2017-08-05
inn01906,2,0,0,4,meal plan 1,0,room_type 1,176,online,0,0,0,90.95,0,canceled,2018-07-12
inn01907,2,0,0,2,not selected,0,room_type 1,117,online,0,0,0,112.5,1,not_canceled,2018-08-12
inn01908,2,0,0,0,meal plan 2,0,room_type 1,247,online,0,0,0,0.0,1,not_canceled,2018-06-06
inn01909,2,0,0,3,meal plan 1,0,room_type 1,50,offline,0,0,0,74.0,0,not_canceled,2018-02-24
inn01910,1,0,0,4,meal plan 1,0,room_type 1,6,corporate,1,0,6,65.0,0,not_canceled,2018-03-29
inn01911,2,0,0,4,not selected,0,room_type 1,97,online,0,0,0,125.1,1,not_canceled,2018-09-06
inn01912,2,0,0,2,not selected,0,room_type 1,64,online,0,0,0,65.36,2,not_canceled,2018-01-19
inn01913,1,0,2,2,meal plan 1,0,room_type 1,147,online,0,0,0,89.25,0,not_canceled,2018-07-15
inn01914,2,0,1,1,meal plan 1,0,room_type 1,159,offline,0,0,0,70.0,1,not_canceled,2018-04-09
inn01915,2,0,1,2,meal plan 1,0,room_type 1,305,online,0,0,0,89.0,0,canceled,2018-11-04
inn01916,2,0,1,1,meal plan 1,0,room_type 1,174,online,0,0,0,70.0,0,canceled,2017-10-10
inn01917,2,0,0,3,meal plan 1,0,room_type 1,147,online,0,0,0,72.25,2,canceled,2017-12-29
inn01918,1,0,0,1,meal plan 1,0,room_type 4,28,corporate,0,0,0,90.0,1,not_canceled,2018-04-06
inn01919,2,0,1,2,meal plan 1,0,room_type 1,189,online,0,0,0,96.3,4,not_canceled,2018-10-28
inn01920,2,0,0,2,meal plan 2,0,room_type 1,102,offline,0,0,0,109.0,0,not_canceled,2017-10-16
inn01921,2,0,2,2,meal plan 1,0,room_type 1,60,offline,0,0,0,75.0,0,not_canceled,2018-11-25
inn01922,2,0,1,3,meal plan 1,0,room_type 1,63,offline,0,0,0,58.0,0,not_canceled,2018-02-15
inn01923,2,0,0,3,meal plan 1,0,room_type 1,97,online,0,0,0,89.25,0,not_canceled,2017-09-03
inn01924,2,0,2,2,meal plan 1,0,room_type 1,193,offline,0,0,0,72.25,1,not_canceled,2018-07-31
inn01925,1,0,0,2,meal plan 2,0,room_type 1,39,offline,0,0,0,87.0,0,not_canceled,2017-08-14
inn01926,2,0,1,0,meal plan 1,0,room_type 1,258,online,0,0,0,110.0,0,canceled,2018-10-16
inn01927,2,0,2,2,meal plan 1,0,room_type 4,25,online,0,0,0,100.3,0,not_canceled,2018-11-12
inn01928,2,0,2,2,meal plan 1,0,room_type 4,76,online,0,0,0,132.6,0,not_canceled,2018-04-30
inn01929,1,0,1,0,meal plan 1,0,room_type 1,5,complementary,0,0,0,0.0,0,not_canceled,2018-09-26
inn01930,2,1,0,3,meal plan 1,0,room_type 1,158,online,0,0,0,131.8,1,canceled,2018-07-07
inn01931,1,0,2,1,meal plan 1,0,room_type 1,44,offline,0,0,0,85.0,0,not_canceled,2018-04-23
inn01932,2,0,0,2,meal plan 2,0,room_type 1,377,online,0,0,0,115.0,1,canceled,2018-10-14
inn01933,2,0,0,2,meal plan 1,0,room_type 1,50,online,0,0,0,62.29,1,not_canceled,2018-02-12
inn01934,2,0,0,2,meal plan 1,0,room_type 1,7,online,0,0,0,93.0,1,not_canceled,2018-02-26
inn01935,2,0,0,3,meal plan 1,0,room_type 1,38,offline,0,0,0,118.0,1,not_canceled,2017-12-31
inn01936,1,0,1,2,meal plan 1,0,room_type 1,31,online,0,0,0,72.9,0,canceled,2018-02-08
inn01937,1,0,0,3,meal plan 1,0,room_type 1,58,offline,0,0,0,81.0,0,not_canceled,2018-01-27
inn01938,2,1,2,1,meal plan 2,0,room_type 1,5,offline,0,0,0,116.5,0,not_canceled,2017-08-15
inn01939,2,0,2,1,meal plan 2,0,room_type 1,117,offline,0,0,0,94.5,0,not_canceled,2017-08-01
inn01940,3,0,2,2,meal plan 1,0,room_type 4,59,online,0,0,0,119.0,1,not_canceled,2018-12-11
inn01941,2,0,0,2,not selected,0,room_type 1,54,online,0,0,0,116.1,0,canceled,2018-05-06
inn01942,2,0,2,1,meal plan 1,0,room_type 1,26,offline,0,0,0,95.0,0,not_canceled,2018-09-18
inn01943,2,0,0,2,meal plan 1,0,room_type 1,63,online,0,0,0,144.9,2,not_canceled,2018-08-09
inn01944,2,0,0,1,meal plan 1,0,room_type 1,443,online,0,0,0,65.0,0,canceled,2018-04-29
inn01945,1,0,2,1,meal plan 1,0,room_type 4,52,online,0,0,0,140.4,0,not_canceled,2018-05-15
inn01946,1,0,1,0,meal plan 1,0,room_type 1,13,online,0,0,0,96.0,0,not_canceled,2018-12-05
inn01947,1,0,0,1,meal plan 1,1,room_type 1,0,corporate,1,0,6,50.0,2,not_canceled,2018-12-17
inn01948,2,0,1,3,meal plan 1,0,room_type 4,35,offline,0,0,0,60.0,0,not_canceled,2017-11-02
inn01949,2,0,0,1,meal plan 1,0,room_type 1,19,online,0,0,0,124.0,2,not_canceled,2017-09-19
inn01950,2,0,1,4,meal plan 1,0,room_type 1,336,offline,0,0,0,78.0,0,not_canceled,2018-09-21
inn01951,2,0,2,1,meal plan 1,0,room_type 1,20,offline,0,0,0,66.0,0,not_canceled,2018-01-31
inn01952,2,1,2,1,meal plan 1,0,room_type 1,12,offline,0,0,0,64.0,1,not_canceled,2017-12-05
inn01953,1,0,0,1,meal plan 1,0,room_type 1,3,offline,0,0,0,120.0,0,not_canceled,2018-06-10
inn01954,1,0,0,1,meal plan 1,0,room_type 1,21,corporate,0,0,0,84.0,0,not_canceled,2018-07-05
inn01955,2,0,0,5,meal plan 1,0,room_type 1,19,offline,0,0,0,87.0,0,not_canceled,2018-02-23
inn01956,2,0,0,4,meal plan 1,0,room_type 1,178,online,0,0,0,90.9,2,not_canceled,2018-10-26
inn01957,2,0,0,4,meal plan 1,0,room_type 1,6,online,0,0,0,110.5,2,not_canceled,2018-12-28
inn01958,1,0,0,1,meal plan 1,0,room_type 1,4,offline,0,0,0,70.0,0,not_canceled,2018-12-16
inn01959,2,0,2,5,meal plan 1,0,room_type 2,288,online,0,0,0,67.25,0,canceled,2018-12-22
inn01960,1,0,1,2,meal plan 1,0,room_type 1,219,offline,0,0,0,76.67,0,not_canceled,2017-09-04
inn01961,2,0,0,3,meal plan 1,0,room_type 1,190,online,0,0,0,90.9,0,canceled,2018-11-03
inn01962,3,0,2,2,meal plan 1,0,room_type 1,18,online,0,0,0,110.4,0,canceled,2018-09-18
inn01963,1,0,2,1,meal plan 2,0,room_type 1,23,offline,0,0,0,87.0,0,not_canceled,2018-01-02
inn01964,2,0,1,2,meal plan 1,0,room_type 1,167,online,0,0,0,90.9,0,canceled,2018-08-26
inn01965,2,0,2,5,meal plan 1,0,room_type 1,79,offline,0,0,0,95.0,0,not_canceled,2018-09-03
inn01966,2,0,0,1,meal plan 1,0,room_type 4,62,online,0,0,0,140.4,0,canceled,2018-05-07
inn01967,2,0,1,4,meal plan 1,0,room_type 4,5,online,0,0,0,155.0,2,not_canceled,2018-08-22
inn01968,2,0,1,0,not selected,0,room_type 1,0,online,0,0,0,160.0,0,not_canceled,2018-09-25
inn01969,2,0,0,2,not selected,0,room_type 1,0,online,0,0,0,97.0,1,not_canceled,2017-08-19
inn01970,2,1,2,1,meal plan 1,0,room_type 1,10,online,0,0,0,79.39,1,not_canceled,2017-12-05
inn01971,2,2,0,3,meal plan 1,0,room_type 2,43,online,0,0,0,86.75,0,canceled,2018-01-14
inn01972,2,0,2,1,meal plan 1,0,room_type 1,68,offline,0,0,0,80.75,0,not_canceled,2018-06-18
inn01973,1,0,1,2,meal plan 1,0,room_type 4,12,offline,0,0,0,75.0,0,not_canceled,2017-10-05
inn01974,1,0,0,2,meal plan 1,0,room_type 1,99,corporate,0,0,0,81.0,0,not_canceled,2018-02-19
inn01975,2,0,1,3,meal plan 1,0,room_type 1,75,online,0,0,0,80.0,0,canceled,2018-03-17
inn01977,2,0,0,2,not selected,0,room_type 1,39,online,0,0,0,88.0,0,not_canceled,2018-11-22
inn01978,2,0,0,1,meal plan 2,0,room_type 1,55,offline,0,0,0,104.0,0,not_canceled,2018-04-06
inn01979,2,0,2,4,meal plan 1,0,room_type 4,115,online,0,0,0,132.3,0,canceled,2018-10-15
inn01980,1,0,0,3,meal plan 1,0,room_type 1,71,offline,0,0,0,120.0,0,not_canceled,2018-06-14
inn01981,2,0,2,1,meal plan 2,0,room_type 1,5,offline,0,0,0,125.0,0,not_canceled,2018-05-15
inn01982,1,0,0,2,meal plan 1,0,room_type 1,103,online,0,0,0,115.0,0,canceled,2018-04-19
inn01983,2,2,1,2,meal plan 1,0,room_type 6,4,online,0,0,0,233.33,0,canceled,2018-10-28
inn01984,3,0,0,3,meal plan 1,0,room_type 4,144,online,0,0,0,162.0,0,canceled,2018-09-15
inn01985,2,0,1,2,meal plan 1,0,room_type 1,1,online,0,0,0,90.0,0,not_canceled,2017-08-21
inn01986,1,0,1,0,meal plan 1,0,room_type 1,3,corporate,1,0,14,65.0,1,not_canceled,2018-04-11
inn01987,2,0,0,0,meal plan 1,0,room_type 1,43,online,0,0,0,0.0,1,not_canceled,2017-10-17
inn01988,2,2,1,1,meal plan 1,0,room_type 6,35,online,0,0,0,179.01,0,canceled,2018-05-16
inn01989,2,0,1,0,meal plan 1,0,room_type 1,141,offline,0,0,0,90.0,1,not_canceled,2017-09-20
inn01990,2,0,0,1,not selected,1,room_type 1,4,online,0,0,0,86.0,0,not_canceled,2018-01-06
inn01991,3,0,1,3,meal plan 1,0,room_type 4,147,online,0,0,0,138.55,1,canceled,2018-07-07
inn01992,2,0,2,2,meal plan 1,0,room_type 1,231,online,0,0,0,90.95,0,canceled,2018-08-28
inn01993,2,0,0,3,not selected,0,room_type 1,48,online,0,0,0,108.0,1,canceled,2018-10-04
inn01994,3,0,0,2,meal plan 1,0,room_type 4,93,online,0,0,0,159.3,0,not_canceled,2018-06-03
inn01995,2,0,1,1,not selected,0,room_type 1,53,online,0,0,0,108.0,1,not_canceled,2018-10-17
inn01996,2,0,0,3,meal plan 1,0,room_type 1,37,offline,0,0,0,105.0,0,not_canceled,2018-10-13
inn01997,2,0,1,2,meal plan 1,0,room_type 1,302,online,0,0,0,100.0,0,canceled,2018-09-16
inn01998,2,0,2,2,meal plan 1,0,room_type 1,229,online,0,0,0,89.25,0,canceled,2018-10-22
inn01999,2,0,2,3,meal plan 1,0,room_type 1,160,online,0,0,0,85.0,1,canceled,2018-11-20
inn02000,2,0,1,3,meal plan 1,0,room_type 4,52,online,0,0,0,82.08,0,not_canceled,2018-11-14
inn02001,2,0,1,4,meal plan 1,0,room_type 4,129,online,0,0,0,112.03,1,canceled,2018-05-11
inn02002,2,2,0,1,meal plan 1,0,room_type 6,197,online,0,0,0,168.3,1,canceled,2018-10-28
inn02003,2,0,0,4,meal plan 1,0,room_type 1,134,online,0,0,0,89.85,2,not_canceled,2018-07-12
inn02004,2,0,1,3,meal plan 1,0,room_type 1,77,online,0,0,0,90.95,1,not_canceled,2018-04-11
inn02005,2,0,1,2,meal plan 1,0,room_type 4,24,online,0,0,0,109.33,1,canceled,2018-02-26
inn02006,2,0,0,2,meal plan 2,0,room_type 1,257,online,0,0,0,101.5,0,canceled,2017-07-01
inn02007,3,0,2,4,meal plan 1,0,room_type 4,139,online,0,0,0,139.2,1,not_canceled,2018-08-19
inn02008,1,0,1,2,meal plan 1,0,room_type 1,30,online,0,0,0,68.7,0,canceled,2018-02-12
inn02009,2,0,2,1,meal plan 1,0,room_type 4,13,online,0,0,0,160.0,1,not_canceled,2018-09-04
inn02010,1,0,0,2,meal plan 2,0,room_type 1,320,offline,0,0,0,90.0,0,not_canceled,2018-08-18
inn02011,2,0,0,2,meal plan 2,0,room_type 1,74,offline,0,0,0,109.0,0,not_canceled,2017-09-18
inn02012,2,0,2,1,meal plan 1,0,room_type 1,143,offline,0,0,0,112.0,1,not_canceled,2018-07-02
inn02013,2,0,1,0,not selected,0,room_type 1,0,online,0,0,0,89.0,0,canceled,2018-05-09
inn02014,1,0,0,2,meal plan 2,0,room_type 1,265,offline,0,0,0,90.0,0,not_canceled,2018-06-24
inn02015,2,0,2,0,meal plan 2,0,room_type 1,386,online,0,0,0,115.0,1,canceled,2018-10-23
inn02016,2,0,2,2,meal plan 1,0,room_type 1,122,online,0,0,0,105.83,2,not_canceled,2018-07-09
inn02017,2,0,0,2,meal plan 1,0,room_type 1,15,online,0,0,0,107.0,3,not_canceled,2017-11-10
inn02018,2,0,0,2,meal plan 2,0,room_type 1,102,online,0,0,0,101.5,0,canceled,2017-10-16
inn02019,2,0,0,2,meal plan 1,0,room_type 1,19,online,0,0,0,109.0,1,not_canceled,2018-03-18
inn02020,2,0,0,2,meal plan 1,0,room_type 1,35,offline,0,0,0,89.28,3,not_canceled,2017-10-16
inn02021,2,0,0,2,meal plan 1,0,room_type 1,27,offline,0,0,0,108.0,0,not_canceled,2017-09-30
inn02022,1,0,2,1,meal plan 1,0,room_type 1,116,online,0,0,0,61.0,0,canceled,2018-02-28
inn02023,2,0,1,2,meal plan 1,0,room_type 1,133,offline,0,0,0,42.17,1,not_canceled,2018-03-11
inn02024,2,0,0,1,not selected,0,room_type 1,0,online,0,0,0,180.0,0,not_canceled,2018-09-20
inn02025,1,0,0,3,not selected,0,room_type 1,25,online,0,0,0,139.0,1,canceled,2018-08-02
inn02026,2,2,2,3,meal plan 1,0,room_type 6,192,online,0,0,0,164.63,0,canceled,2018-10-28
inn02027,2,0,0,1,not selected,0,room_type 1,213,online,0,0,0,67.5,0,not_canceled,2018-12-17
inn02028,2,0,1,1,meal plan 1,0,room_type 1,44,complementary,0,0,0,0.0,1,not_canceled,2018-05-23
inn02029,2,1,2,1,meal plan 1,0,room_type 1,5,offline,0,0,0,95.2,0,not_canceled,2018-04-17
inn02030,2,0,1,3,meal plan 1,0,room_type 1,85,offline,0,0,0,85.0,1,not_canceled,2018-10-06
inn02031,2,0,0,2,meal plan 1,0,room_type 1,211,online,0,0,0,100.0,0,canceled,2018-05-20
inn02032,2,0,1,1,not selected,0,room_type 1,7,online,0,0,0,78.0,1,not_canceled,2018-12-17
inn02033,2,0,0,2,meal plan 2,0,room_type 1,320,online,0,0,0,115.0,1,canceled,2018-08-18
inn02034,2,0,1,1,meal plan 2,0,room_type 1,301,online,0,0,0,115.0,1,canceled,2018-07-30
inn02035,2,0,0,2,meal plan 2,0,room_type 1,292,online,0,0,0,115.0,0,canceled,2018-07-21
inn02036,2,0,1,0,not selected,0,room_type 1,1,online,0,0,0,99.0,0,not_canceled,2018-04-18
inn02037,2,0,1,0,not selected,1,room_type 1,100,online,0,0,0,112.5,1,not_canceled,2018-07-04
inn02038,1,0,0,1,meal plan 1,0,room_type 1,0,offline,1,2,6,65.0,0,not_canceled,2018-12-21
inn02039,3,0,0,2,meal plan 1,0,room_type 4,50,online,0,0,0,142.2,0,canceled,2018-09-02
inn02040,1,0,0,2,meal plan 1,0,room_type 1,25,online,0,0,0,66.22,1,not_canceled,2018-02-16
inn02041,2,1,1,2,meal plan 1,0,room_type 4,30,online,0,0,0,118.2,1,not_canceled,2017-10-23
inn02042,2,1,2,5,meal plan 2,0,room_type 1,156,online,0,0,0,171.96,2,canceled,2018-08-13
inn02043,1,0,0,3,meal plan 1,0,room_type 1,43,online,0,0,0,90.9,3,not_canceled,2017-10-29
inn02044,3,0,1,3,meal plan 1,0,room_type 4,319,online,0,0,0,113.9,2,canceled,2018-12-29
inn02045,2,0,0,3,meal plan 1,0,room_type 4,8,online,0,0,0,87.78,1,not_canceled,2017-09-08
inn02046,1,0,0,2,meal plan 2,0,room_type 1,377,offline,0,0,0,90.0,0,not_canceled,2018-10-14
inn02047,2,0,0,2,meal plan 1,0,room_type 4,177,online,0,0,0,82.96,0,canceled,2018-07-27
inn02048,2,0,1,3,meal plan 1,0,room_type 1,54,online,0,0,0,89.46,0,canceled,2018-03-17
inn02049,2,0,1,0,not selected,0,room_type 1,199,online,0,0,0,85.5,0,canceled,2018-08-28
inn02050,2,0,0,2,meal plan 1,0,room_type 1,36,offline,0,0,0,75.6,0,not_canceled,2017-10-13
inn02051,1,0,3,5,meal plan 1,0,room_type 1,10,corporate,0,0,0,110.0,0,not_canceled,2018-05-29
inn02052,3,0,0,3,meal plan 1,0,room_type 4,144,online,0,0,0,131.7,0,canceled,2018-08-24
inn02053,2,0,0,3,not selected,0,room_type 1,44,online,0,0,0,113.7,1,not_canceled,2018-10-20
inn02054,2,0,0,2,meal plan 1,0,room_type 1,73,online,0,0,0,126.9,1,not_canceled,2018-06-09
